percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.5806504262397489330025430600%,-0.5806504262397489330025430600%,dnt,buy-dnt_eth,0.0000030175212500,0.0000030175212500,sell-dnt_btc,0.00000300,0.00000300,100.00%,0.00%,30/12/2018 23:43:01,
-0.6364680086051366487419525900%,-0.6364680086051366487419525900%,dock,buy-dock_eth,0.0000023549887500,0.0000023549887500,sell-dock_btc,0.00000234,0.00000234,100.00%,0.00%,30/12/2018 23:43:01,
-0.6166585484656600097418412100%,-0.6166585484656600097418412100%,edo,buy-edo_btc,0.00020530,0.00020530,sell-edo_eth,0.0002040340000000,0.0002040340000000,100.00%,0.00%,30/12/2018 23:43:01,
-0.7649453611365076987530776100%,-0.7649453611365076987530776100%,elf,buy-elf_eth,0.0000294754712500,0.0000294754712500,sell-elf_btc,0.00002925,0.00002925,100.00%,0.00%,30/12/2018 23:43:01,
-0.6066054207796249000288426500%,-0.6066054207796249000288426500%,eng,buy-eng_eth,0.0000824300250000,0.0000824300250000,sell-eng_btc,0.00008193,0.00008193,100.00%,0.00%,30/12/2018 23:43:01,
-0.1225983271718601337694488800%,-0.1225983271718601337694488800%,enj,buy-enj_eth,0.0000105629500000,0.0000105629500000,sell-enj_btc,0.00001055,0.00001055,100.00%,0.00%,30/12/2018 23:43:01,
0.0104061133861471453678076400%,0.0104061133861471453678076400%,eos,buy-eos_bnb,0.0006910480500000,0.0006910480500000,sell-eos_usdt,0.0006911199612436357588181949,0.0006911199612436357588181949,100.00%,0.00%,30/12/2018 23:43:01,
-0.2105905910640265227585469900%,-0.2105905910640265227585469900%,etc,buy-etc_bnb,0.0013738932900000,0.0013738932900000,sell-etc_btc,0.00137100,0.00137100,100.00%,0.00%,30/12/2018 23:43:01,
-0.0097270369487577318980588400%,-0.0097270369487577318980588400%,eth,buy-eth_btc,0.03613300,0.03613300,sell-eth_usdt,0.0361294853297393053687332744,0.0361294853297393053687332744,100.00%,0.00%,30/12/2018 23:43:01,
-0.3437553795834050611120674800%,-0.3437553795834050611120674800%,evx,buy-evx_btc,0.00005809,0.00005809,sell-evx_eth,0.0000578903125000,0.0000578903125000,100.00%,0.00%,30/12/2018 23:43:01,
