percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
0.0557971256828222852056990200%,0.0557971256828222852056990200%,ada,buy-ada_btc,0.00001123,0.00001123,sell-ada_usdt,0.0000112362660172141809426286,0.0000112362660172141809426286,100.00%,0.00%,30/12/2018 23:42:32,
-0.4112556680886119239789226600%,-0.4112556680886119239789226600%,adx,buy-adx_eth,0.0000267198870500,0.0000267198870500,sell-adx_btc,0.00002661,0.00002661,100.00%,0.00%,30/12/2018 23:42:32,
-0.3310177497395822391185421500%,-0.3310177497395822391185421500%,ae,buy-ae_bnb,0.0001049553990000,0.0001049553990000,sell-ae_eth,0.0001046079780000,0.0001046079780000,100.00%,0.00%,30/12/2018 23:42:32,
-0.2328926782738841725120594500%,-0.2328926782738841725120594500%,agi,buy-agi_eth,0.0000124690394800,0.0000124690394800,sell-agi_btc,0.00001244,0.00001244,100.00%,0.00%,30/12/2018 23:42:32,
-0.1599492385786802030456852800%,-0.1599492385786802030456852800%,aion,buy-aion_btc,0.00003940,0.00003940,sell-aion_bnb,0.0000393369800000,0.0000393369800000,100.00%,0.00%,30/12/2018 23:42:32,
-0.5595614676660724073793165400%,-0.5595614676660724073793165400%,amb,buy-amb_bnb,0.0000181817380000,0.0000181817380000,sell-amb_btc,0.00001808,0.00001808,100.00%,0.00%,30/12/2018 23:42:32,
-0.243809003496503496503496500%,-0.243809003496503496503496500%,appc,buy-appc_btc,0.00001144,0.00001144,sell-appc_eth,0.0000114121082500,0.0000114121082500,100.00%,0.00%,30/12/2018 23:42:32,
-0.8469625915537240939746033600%,-0.8469625915537240939746033600%,ardr,buy-ardr_eth,0.0000141296730450,0.0000141296730450,sell-ardr_btc,0.00001401,0.00001401,100.00%,0.00%,30/12/2018 23:42:32,
-0.4608908582089552238805970100%,-0.4608908582089552238805970100%,ark,buy-ark_btc,0.00010720,0.00010720,sell-ark_eth,0.0001067059250000,0.0001067059250000,100.00%,0.00%,30/12/2018 23:42:32,
-0.3104062039588369163730061800%,-0.3104062039588369163730061800%,arn,buy-arn_eth,0.0000744912253850,0.0000744912253850,sell-arn_btc,0.00007426,0.00007426,100.00%,0.00%,30/12/2018 23:42:32,
-0.4179464043419267299864314800%,-0.4179464043419267299864314800%,ast,buy-ast_btc,0.00000737,0.00000737,sell-ast_eth,0.0000073391973500,0.0000073391973500,100.00%,0.00%,30/12/2018 23:42:32,
-0.2862585026440300584469802400%,-0.2862585026440300584469802400%,bat,buy-bat_btc,0.00003593,0.00003593,sell-bat_eth,0.0000358271473200,0.0000358271473200,100.00%,0.00%,30/12/2018 23:42:32,
-0.1906742738589211618257261400%,-0.1906742738589211618257261400%,bcd,buy-bcd_btc,0.00024100,0.00024100,sell-bcd_eth,0.0002405404750000,0.0002405404750000,100.00%,0.00%,30/12/2018 23:42:32,
-0.136871301904464564470792300%,-0.136871301904464564470792300%,bch,buy-bch_usdt,0.0422117758071041772920941479,0.0422117758071041772920941479,sell-bch_btc,0.04215400,0.04215400,100.00%,0.00%,30/12/2018 23:42:32,
-0.0038274715688218098091625600%,-0.0038274715688218098091625600%,bchsv,buy-bchsv_btc,0.02310600,0.02310600,sell-bchsv_usdt,0.0231051156244193080326254949,0.0231051156244193080326254949,100.00%,0.00%,30/12/2018 23:42:32,
-0.3603495799673357293450618200%,-0.3603495799673357293450618200%,bcpt,buy-bcpt_bnb,0.0000084404150000,0.0000084404150000,sell-bcpt_btc,0.00000841,0.00000841,100.00%,0.00%,30/12/2018 23:42:32,
-0.9598112459013656305070149800%,-0.9598112459013656305070149800%,blz,buy-blz_eth,0.0000119749367900,0.0000119749367900,sell-blz_btc,0.00001186,0.00001186,100.00%,0.00%,30/12/2018 23:42:32,
-0.1054856340903291656034528700%,-0.1054856340903291656034528700%,bnb,buy-bnb_usdt,0.0015494344307340737197101183,0.0015494344307340737197101183,sell-bnb_btc,0.00154780,0.00154780,100.00%,0.00%,30/12/2018 23:42:32,
-0.3886278050802297353306886100%,-0.3886278050802297353306886100%,bnt,buy-bnt_btc,0.00016889,0.00016889,sell-bnt_eth,0.0001682336465000,0.0001682336465000,100.00%,0.00%,30/12/2018 23:42:32,
-0.6036818559627672020500558200%,-0.6036818559627672020500558200%,bqx,buy-bqx_eth,0.0000318019828000,0.0000318019828000,sell-bqx_btc,0.00003161,0.00003161,100.00%,0.00%,30/12/2018 23:42:32,
-0.311895328302067432008772700%,-0.311895328302067432008772700%,brd,buy-brd_bnb,0.0000541890130000,0.0000541890130000,sell-brd_btc,0.00005402,0.00005402,100.00%,0.00%,30/12/2018 23:42:32,
-1.0685012450802841820987910800%,-1.0685012450802841820987910800%,btg,buy-btg_eth,0.0035802550700000,0.0035802550700000,sell-btg_btc,0.00354200,0.00354200,100.00%,0.00%,30/12/2018 23:42:32,
-0.1687650339476236663433559700%,-0.1687650339476236663433559700%,bts,buy-bts_btc,0.00001031,0.00001031,sell-bts_eth,0.0000102926003250,0.0000102926003250,100.00%,0.00%,30/12/2018 23:42:32,
-0.903228825597838974582594600%,-0.903228825597838974582594600%,cdt,buy-cdt_eth,0.0000020787761050,0.0000020787761050,sell-cdt_btc,0.00000206,0.00000206,100.00%,0.00%,30/12/2018 23:42:32,
-0.8203899530842632654011626200%,-0.8203899530842632654011626200%,cloak,buy-cloak_eth,0.0003107493565000,0.0003107493565000,sell-cloak_btc,0.00030820,0.00030820,100.00%,0.00%,30/12/2018 23:42:32,
-0.24550000%,-0.24550000%,cmt,buy-cmt_btc,0.00000680,0.00000680,sell-cmt_bnb,0.0000067833060000,0.0000067833060000,100.00%,0.00%,30/12/2018 23:42:32,
-0.2858457854406130268199233700%,-0.2858457854406130268199233700%,cnd,buy-cnd_btc,0.00000261,0.00000261,sell-cnd_eth,0.0000026025394250,0.0000026025394250,100.00%,0.00%,30/12/2018 23:42:32,
-0.0298086146272855133614627300%,-0.0298086146272855133614627300%,cvc,buy-cvc_btc,0.00001422,0.00001422,sell-cvc_eth,0.0000142157612150,0.0000142157612150,100.00%,0.00%,30/12/2018 23:42:32,
-0.40388607478995819296323100%,-0.40388607478995819296323100%,dash,buy-dash_eth,0.0211263262900000,0.0211263262900000,sell-dash_btc,0.02104100,0.02104100,100.00%,0.00%,30/12/2018 23:42:32,
-0.1788184873949579831932773100%,-0.1788184873949579831932773100%,data,buy-data_btc,0.00000476,0.00000476,sell-data_eth,0.0000047514882400,0.0000047514882400,100.00%,0.00%,30/12/2018 23:42:32,
-0.633830355309098377490244400%,-0.633830355309098377490244400%,dcr,buy-dcr_btc,0.00486900,0.00486900,sell-dcr_bnb,0.0048381388000000,0.0048381388000000,100.00%,0.00%,30/12/2018 23:42:32,
-1.0621039675029152051065975300%,-1.0621039675029152051065975300%,dent,buy-dent_eth,0.0000003537572700,0.0000003537572700,sell-dent_btc,0.00000035,0.00000035,100.00%,0.00%,30/12/2018 23:42:32,
-0.2868115563298490127758420400%,-0.2868115563298490127758420400%,dgd,buy-dgd_btc,0.00516600,0.00516600,sell-dgd_eth,0.0051511833150000,0.0051511833150000,100.00%,0.00%,30/12/2018 23:42:32,
-0.1110115384615384615384615400%,-0.1110115384615384615384615400%,dlt,buy-dlt_btc,0.00000949,0.00000949,sell-dlt_eth,0.0000094794650050,0.0000094794650050,100.00%,0.00%,30/12/2018 23:42:32,
-0.2219387043189368770764119600%,-0.2219387043189368770764119600%,dnt,buy-dnt_btc,0.00000301,0.00000301,sell-dnt_eth,0.0000030033196450,0.0000030033196450,100.00%,0.00%,30/12/2018 23:42:32,
