percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.3352303678686847318388939300%,-0.3352303678686847318388939300%,nav,buy-nav_bnb,0.0000448503520000,0.0000448503520000,sell-nav_btc,0.00004470,0.00004470,100.00%,0.00%,30/12/2018 23:42:12,
-0.270834962019921201911801400%,-0.270834962019921201911801400%,nav,buy-nav_bnb,0.0000448213920000,0.0000448213920000,sell-nav_btc,0.00004470,0.00004470,100.00%,0.00%,30/12/2018 23:42:41,
-0.2515001103258575960959642200%,-0.2515001103258575960959642200%,nav,buy-nav_bnb,0.0000448127040000,0.0000448127040000,sell-nav_btc,0.00004470,0.00004470,100.00%,0.00%,30/12/2018 23:43:09,
