percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.0431189727802981205443940400%,-0.0431189727802981205443940400%,iota,buy-iota_btc,0.00009258,0.00009258,sell-iota_eth,0.0000925400804550,0.0000925400804550,100.00%,0.00%,30/12/2018 23:42:10,
-0.1559639680949665835953563700%,-0.1559639680949665835953563700%,iota,buy-iota_btc,0.00009260,0.00009260,sell-iota_usdt,0.0000924555773655440609435907,0.0000924555773655440609435907,100.00%,0.00%,30/12/2018 23:42:39,
-0.2194257721382289416846652300%,-0.2194257721382289416846652300%,iota,buy-iota_btc,0.00009260,0.00009260,sell-iota_eth,0.0000923968117350,0.0000923968117350,100.00%,0.00%,30/12/2018 23:43:07,
