percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.0652628032345013477088948800%,-0.0652628032345013477088948800%,poa,buy-poa_btc,0.00000742,0.00000742,sell-poa_eth,0.0000074151575000,0.0000074151575000,100.00%,0.00%,30/12/2018 23:42:13,
-0.1450471698113207547169811300%,-0.1450471698113207547169811300%,poa,buy-poa_btc,0.00000742,0.00000742,sell-poa_eth,0.0000074092375000,0.0000074092375000,100.00%,0.00%,30/12/2018 23:42:42,
-0.1713066037735849056603773600%,-0.1713066037735849056603773600%,poa,buy-poa_btc,0.00000742,0.00000742,sell-poa_eth,0.0000074072890500,0.0000074072890500,100.00%,0.00%,30/12/2018 23:43:09,
