percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.4930557260312237680270339900%,-0.4930557260312237680270339900%,qlc,buy-qlc_eth,0.0000067633470700,0.0000067633470700,sell-qlc_btc,0.00000673,0.00000673,100.00%,0.00%,30/12/2018 23:42:14,
-0.3756268156838073386007438500%,-0.3756268156838073386007438500%,qlc,buy-qlc_eth,0.0000067553750000,0.0000067553750000,sell-qlc_btc,0.00000673,0.00000673,100.00%,0.00%,30/12/2018 23:42:42,
-0.2013519163154279899819333400%,-0.2013519163154279899819333400%,qlc,buy-qlc_eth,0.0000067535985000,0.0000067535985000,sell-qlc_btc,0.00000674,0.00000674,100.00%,0.00%,30/12/2018 23:43:10,
