percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.5062249515116062051717746900%,-0.5062249515116062051717746900%,hc,buy-hc_eth,0.0002243356430000,0.0002243356430000,sell-hc_btc,0.00022320,0.00022320,100.00%,0.00%,30/12/2018 23:42:09,
-0.4227902819606132188634317100%,-0.4227902819606132188634317100%,hc,buy-hc_eth,0.0002240472500000,0.0002240472500000,sell-hc_btc,0.00022310,0.00022310,100.00%,0.00%,30/12/2018 23:42:38,
-0.3965969995106575440307200600%,-0.3965969995106575440307200600%,hc,buy-hc_eth,0.0002239883310000,0.0002239883310000,sell-hc_btc,0.00022310,0.00022310,100.00%,0.00%,30/12/2018 23:43:07,
