percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-1.1821813382131271664052367300%,-1.1821813382131271664052367300%,wpr,buy-wpr_eth,0.0000034912731800,0.0000034912731800,sell-wpr_btc,0.00000345,0.00000345,100.00%,0.00%,30/12/2018 23:42:17,
-1.0242200188556033022049723900%,-1.0242200188556033022049723900%,wpr,buy-wpr_eth,0.0000034857012500,0.0000034857012500,sell-wpr_btc,0.00000345,0.00000345,100.00%,0.00%,30/12/2018 23:42:46,
-0.9776600477738014950556488100%,-0.9776600477738014950556488100%,wpr,buy-wpr_eth,0.0000034840622850,0.0000034840622850,sell-wpr_btc,0.00000345,0.00000345,100.00%,0.00%,30/12/2018 23:43:25,
