percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.2386385317798647894024755800%,-0.2386385317798647894024755800%,nano,buy-nano_eth,0.0002479918040000,0.0002479918040000,sell-nano_btc,0.00024740,0.00024740,100.00%,0.00%,30/12/2018 23:42:12,
-0.0844236158034145895917237600%,-0.0844236158034145895917237600%,nano,buy-nano_eth,0.0002477091250000,0.0002477091250000,sell-nano_btc,0.00024750,0.00024750,100.00%,0.00%,30/12/2018 23:42:41,
-0.0839504825428245276923106500%,-0.0839504825428245276923106500%,nano,buy-nano_eth,0.0002476078680000,0.0002476078680000,sell-nano_btc,0.00024740,0.00024740,100.00%,0.00%,30/12/2018 23:43:08,
