percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.7648472525706691609445604400%,-0.7648472525706691609445604400%,sc,buy-sc_eth,0.0000007154722700,0.0000007154722700,sell-sc_btc,0.00000071,0.00000071,100.00%,0.00%,30/12/2018 23:42:15,
-0.5868526112578388491878050900%,-0.5868526112578388491878050900%,sc,buy-sc_eth,0.0000007141912500,0.0000007141912500,sell-sc_btc,0.00000071,0.00000071,100.00%,0.00%,30/12/2018 23:42:43,
-0.5607024845755819087901166700%,-0.5607024845755819087901166700%,sc,buy-sc_eth,0.0000007140034350,0.0000007140034350,sell-sc_btc,0.00000071,0.00000071,100.00%,0.00%,30/12/2018 23:43:11,
