percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.2435665676958413926498973300%,-0.2435665676958413926498973300%,nuls,buy-nuls_usdt,0.0001090152386751063860631292,0.0001090152386751063860631292,sell-nuls_bnb,0.0001087497140000,0.0001087497140000,100.00%,0.00%,30/12/2018 23:42:12,
-0.4468237990544135429261979400%,-0.4468237990544135429261979400%,nuls,buy-nuls_usdt,0.0001091672793850727275847366,0.0001091672793850727275847366,sell-nuls_bnb,0.0001086794940000,0.0001086794940000,100.00%,0.00%,30/12/2018 23:42:41,
-0.5877116203143893591294004700%,-0.5877116203143893591294004700%,nuls,buy-nuls_usdt,0.0001093124419236346188670367,0.0001093124419236346188670367,sell-nuls_btc,0.00010867,0.00010867,100.00%,0.00%,30/12/2018 23:43:09,
