percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.1477407495478897337846848300%,-0.1477407495478897337846848300%,link,buy-link_eth,0.0000782255710450,0.0000782255710450,sell-link_btc,0.00007811,0.00007811,100.00%,0.00%,30/12/2018 23:42:10,
-0.2375053745828299993857619600%,-0.2375053745828299993857619600%,link,buy-link_eth,0.0000781456000000,0.0000781456000000,sell-link_btc,0.00007796,0.00007796,100.00%,0.00%,30/12/2018 23:42:39,
-0.2112633538731218930323725500%,-0.2112633538731218930323725500%,link,buy-link_eth,0.0000781250496000,0.0000781250496000,sell-link_btc,0.00007796,0.00007796,100.00%,0.00%,30/12/2018 23:43:07,
