percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.0127244844421773664650422800%,-0.0127244844421773664650422800%,eth,buy-eth_usdt,0.0361706025226906415847273176,0.0361706025226906415847273176,sell-eth_btc,0.03616600,0.03616600,100.00%,0.00%,30/12/2018 23:42:08,
-0.0097270369487577318980588400%,-0.0097270369487577318980588400%,eth,buy-eth_btc,0.03613300,0.03613300,sell-eth_usdt,0.0361294853297393053687332744,0.0361294853297393053687332744,100.00%,0.00%,30/12/2018 23:42:37,
0.0043258089311859443630983600%,0.0043258089311859443630983600%,eth,buy-eth_usdt,0.0361114378881946528107308621,0.0361114378881946528107308621,sell-eth_btc,0.03611300,0.03611300,100.00%,0.00%,30/12/2018 23:43:06,
