percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.306269298245614035087719300%,-0.306269298245614035087719300%,fun,buy-fun_btc,0.00000114,0.00000114,sell-fun_eth,0.0000011365085300,0.0000011365085300,100.00%,0.00%,30/12/2018 23:42:08,
-0.4344298245614035087719298200%,-0.4344298245614035087719298200%,fun,buy-fun_btc,0.00000114,0.00000114,sell-fun_eth,0.0000011350475000,0.0000011350475000,100.00%,0.00%,30/12/2018 23:42:37,
-0.4606131578947368421052631600%,-0.4606131578947368421052631600%,fun,buy-fun_btc,0.00000114,0.00000114,sell-fun_eth,0.0000011347490100,0.0000011347490100,100.00%,0.00%,30/12/2018 23:43:06,
