percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.193453703703703703703703700%,-0.193453703703703703703703700%,xvg,buy-xvg_btc,0.00000189,0.00000189,sell-xvg_eth,0.0000018863437250,0.0000018863437250,100.00%,0.00%,30/12/2018 23:42:17,
-0.2271424629036024370051160100%,-0.2271424629036024370051160100%,xvg,buy-xvg_eth,0.0000018842800000,0.0000018842800000,sell-xvg_btc,0.00000188,0.00000188,100.00%,0.00%,30/12/2018 23:42:47,
-0.2008977162822787456025755100%,-0.2008977162822787456025755100%,xvg,buy-xvg_eth,0.0000018837844800,0.0000018837844800,sell-xvg_btc,0.00000188,0.00000188,100.00%,0.00%,30/12/2018 23:43:26,
