percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.9721537229544045534561243500%,-0.9721537229544045534561243500%,lend,buy-lend_eth,0.0000020802229650,0.0000020802229650,sell-lend_btc,0.00000206,0.00000206,100.00%,0.00%,30/12/2018 23:42:10,
-0.844685353352117489421126700%,-0.844685353352117489421126700%,lend,buy-lend_eth,0.0000020775487500,0.0000020775487500,sell-lend_btc,0.00000206,0.00000206,100.00%,0.00%,30/12/2018 23:42:39,
-0.8186030482713860892231369400%,-0.8186030482713860892231369400%,lend,buy-lend_eth,0.0000020770024050,0.0000020770024050,sell-lend_btc,0.00000206,0.00000206,100.00%,0.00%,30/12/2018 23:43:07,
