percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.2788555141513619022269541300%,-0.2788555141513619022269541300%,gvt,buy-gvt_btc,0.00112710,0.00112710,sell-gvt_eth,0.0011239570195000,0.0011239570195000,100.00%,0.00%,30/12/2018 23:42:09,
-0.2455473736016824854559889700%,-0.2455473736016824854559889700%,gvt,buy-gvt_eth,0.0011266665000000,0.0011266665000000,sell-gvt_btc,0.00112390,0.00112390,100.00%,0.00%,30/12/2018 23:42:38,
-0.4567048068083397042882039100%,-0.4567048068083397042882039100%,gvt,buy-gvt_eth,0.0011278509495000,0.0011278509495000,sell-gvt_btc,0.00112270,0.00112270,100.00%,0.00%,30/12/2018 23:43:07,
