percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.2531127395715896279594137500%,-0.2531127395715896279594137500%,mod,buy-mod_btc,0.00008870,0.00008870,sell-mod_eth,0.0000884754890000,0.0000884754890000,100.00%,0.00%,30/12/2018 23:42:11,
-0.5260640841702534672405547600%,-0.5260640841702534672405547600%,mod,buy-mod_eth,0.0000888675000000,0.0000888675000000,sell-mod_btc,0.00008840,0.00008840,100.00%,0.00%,30/12/2018 23:42:40,
-0.4998979673727459540658454300%,-0.4998979673727459540658454300%,mod,buy-mod_eth,0.0000888441300000,0.0000888441300000,sell-mod_btc,0.00008840,0.00008840,100.00%,0.00%,30/12/2018 23:43:08,
