percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.8226412776995025022694776600%,-0.8226412776995025022694776600%,nas,buy-nas_eth,0.0001618312910000,0.0001618312910000,sell-nas_btc,0.00016050,0.00016050,100.00%,0.00%,30/12/2018 23:42:12,
-0.385619024490597732690067800%,-0.385619024490597732690067800%,nas,buy-nas_eth,0.0001616232500000,0.0001616232500000,sell-nas_btc,0.00016100,0.00016100,100.00%,0.00%,30/12/2018 23:42:41,
-0.606970210380324581616150100%,-0.606970210380324581616150100%,nas,buy-nas_eth,0.0001615807470000,0.0001615807470000,sell-nas_btc,0.00016060,0.00016060,100.00%,0.00%,30/12/2018 23:43:09,
