percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.1599492385786802030456852800%,-0.1599492385786802030456852800%,aion,buy-aion_btc,0.00003940,0.00003940,sell-aion_bnb,0.0000393369800000,0.0000393369800000,100.00%,0.00%,30/12/2018 23:42:06,
-0.4770126582278481012658227800%,-0.4770126582278481012658227800%,aion,buy-aion_btc,0.00003950,0.00003950,sell-aion_bnb,0.0000393115800000,0.0000393115800000,100.00%,0.00%,30/12/2018 23:42:35,
-0.4770126582278481012658227800%,-0.4770126582278481012658227800%,aion,buy-aion_btc,0.00003950,0.00003950,sell-aion_bnb,0.0000393115800000,0.0000393115800000,100.00%,0.00%,30/12/2018 23:43:04,
