percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.0804571666666666666666666700%,-0.0804571666666666666666666700%,qtum,buy-qtum_btc,0.00060000,0.00060000,sell-qtum_bnb,0.0005995172570000,0.0005995172570000,100.00%,0.00%,30/12/2018 23:42:14,
-0.1160122688620158450704141400%,-0.1160122688620158450704141400%,qtum,buy-qtum_usdt,0.0005998260187736039590629302,0.0005998260187736039590629302,sell-qtum_bnb,0.0005991301470000,0.0005991301470000,100.00%,0.00%,30/12/2018 23:42:43,
-0.14369900%,-0.14369900%,qtum,buy-qtum_btc,0.00060000,0.00060000,sell-qtum_bnb,0.0005991378060000,0.0005991378060000,100.00%,0.00%,30/12/2018 23:43:10,
