percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.1822176344086021505376344100%,-0.1822176344086021505376344100%,oax,buy-oax_btc,0.00002325,0.00002325,sell-oax_eth,0.0000232076344000,0.0000232076344000,100.00%,0.00%,30/12/2018 23:42:12,
-0.3105376344086021505376344100%,-0.3105376344086021505376344100%,oax,buy-oax_btc,0.00002325,0.00002325,sell-oax_eth,0.0000231778000000,0.0000231778000000,100.00%,0.00%,30/12/2018 23:42:41,
-0.3367535483870967741935483900%,-0.3367535483870967741935483900%,oax,buy-oax_btc,0.00002325,0.00002325,sell-oax_eth,0.0000231717048000,0.0000231717048000,100.00%,0.00%,30/12/2018 23:43:09,
