percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.0340888540065787135649962800%,-0.0340888540065787135649962800%,eos,buy-eos_eth,0.0006899351910000,0.0006899351910000,sell-eos_btc,0.00068970,0.00068970,100.00%,0.00%,30/12/2018 23:42:08,
0.0104061133861471453678076400%,0.0104061133861471453678076400%,eos,buy-eos_bnb,0.0006910480500000,0.0006910480500000,sell-eos_usdt,0.0006911199612436357588181949,0.0006911199612436357588181949,100.00%,0.00%,30/12/2018 23:42:37,
-0.1390373933667418996977935100%,-0.1390373933667418996977935100%,eos,buy-eos_usdt,0.0006910608329687382277637741,0.0006910608329687382277637741,sell-eos_btc,0.00069010,0.00069010,100.00%,0.00%,30/12/2018 23:43:06,
