percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.3019593382240964501622529800%,-0.3019593382240964501622529800%,qkc,buy-qkc_eth,0.0000104314988850,0.0000104314988850,sell-qkc_btc,0.00001040,0.00001040,100.00%,0.00%,30/12/2018 23:42:13,
-0.4353318975993200087729984300%,-0.4353318975993200087729984300%,qkc,buy-qkc_eth,0.0000104354287500,0.0000104354287500,sell-qkc_btc,0.00001039,0.00001039,100.00%,0.00%,30/12/2018 23:42:42,
-0.3884520090815378527973725300%,-0.3884520090815378527973725300%,qkc,buy-qkc_eth,0.0000104305175550,0.0000104305175550,sell-qkc_btc,0.00001039,0.00001039,100.00%,0.00%,30/12/2018 23:43:10,
