percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.1489343032159264931087289400%,-0.1489343032159264931087289400%,sys,buy-sys_btc,0.00001306,0.00001306,sell-sys_eth,0.0000130405491800,0.0000130405491800,100.00%,0.00%,30/12/2018 23:42:16,
-0.2494758312824380589818801600%,-0.2494758312824380589818801600%,sys,buy-sys_bnb,0.0000130625880000,0.0000130625880000,sell-sys_btc,0.00001303,0.00001303,100.00%,0.00%,30/12/2018 23:42:44,
-0.2301368386169247666319348100%,-0.2301368386169247666319348100%,sys,buy-sys_bnb,0.0000130600560000,0.0000130600560000,sell-sys_btc,0.00001303,0.00001303,100.00%,0.00%,30/12/2018 23:43:12,
