percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.2173766534391534391534391500%,-0.2173766534391534391534391500%,zen,buy-zen_btc,0.00151200,0.00151200,sell-zen_eth,0.0015087132650000,0.0015087132650000,100.00%,0.00%,30/12/2018 23:42:18,
-0.612114770679743978388371100%,-0.612114770679743978388371100%,zen,buy-zen_bnb,0.0015182937000000,0.0015182937000000,sell-zen_btc,0.00150900,0.00150900,100.00%,0.00%,30/12/2018 23:42:47,
-0.6587222629995769431792924300%,-0.6587222629995769431792924300%,zen,buy-zen_bnb,0.0015179994000000,0.0015179994000000,sell-zen_btc,0.00150800,0.00150800,100.00%,0.00%,30/12/2018 23:43:26,
