percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.3044561904761904761904761900%,-0.3044561904761904761904761900%,iotx,buy-iotx_btc,0.00000210,0.00000210,sell-iotx_eth,0.0000020936064200,0.0000020936064200,100.00%,0.00%,30/12/2018 23:42:10,
-0.4326190476190476190476190500%,-0.4326190476190476190476190500%,iotx,buy-iotx_btc,0.00000210,0.00000210,sell-iotx_eth,0.0000020909150000,0.0000020909150000,100.00%,0.00%,30/12/2018 23:42:39,
-0.4588028571428571428571428600%,-0.4588028571428571428571428600%,iotx,buy-iotx_btc,0.00000210,0.00000210,sell-iotx_eth,0.0000020903651400,0.0000020903651400,100.00%,0.00%,30/12/2018 23:43:07,
