percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.2328926782738841725120594500%,-0.2328926782738841725120594500%,agi,buy-agi_eth,0.0000124690394800,0.0000124690394800,sell-agi_btc,0.00001244,0.00001244,100.00%,0.00%,30/12/2018 23:42:06,
-0.1044727339012816981597220300%,-0.1044727339012816981597220300%,agi,buy-agi_eth,0.0000124530100000,0.0000124530100000,sell-agi_btc,0.00001244,0.00001244,100.00%,0.00%,30/12/2018 23:42:35,
-0.1044727339012816981597220300%,-0.1044727339012816981597220300%,agi,buy-agi_eth,0.0000124530100000,0.0000124530100000,sell-agi_btc,0.00001244,0.00001244,100.00%,0.00%,30/12/2018 23:43:04,
