percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.3252017495395948434622467800%,-0.3252017495395948434622467800%,wabi,buy-wabi_btc,0.00003258,0.00003258,sell-wabi_eth,0.0000324740492700,0.0000324740492700,100.00%,0.00%,30/12/2018 23:42:17,
-0.5491362496299123282009802100%,-0.5491362496299123282009802100%,wabi,buy-wabi_eth,0.0000327498412500,0.0000327498412500,sell-wabi_btc,0.00003257,0.00003257,100.00%,0.00%,30/12/2018 23:42:45,
-0.4618911396457365128702567800%,-0.4618911396457365128702567800%,wabi,buy-wabi_eth,0.0000327412288350,0.0000327412288350,sell-wabi_btc,0.00003259,0.00003259,100.00%,0.00%,30/12/2018 23:43:25,
