percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.8367918722713166280759687200%,-0.8367918722713166280759687200%,powr,buy-powr_bnb,0.0000210158590000,0.0000210158590000,sell-powr_btc,0.00002084,0.00002084,100.00%,0.00%,30/12/2018 23:42:13,
-0.7727205353664069664025668800%,-0.7727205353664069664025668800%,powr,buy-powr_bnb,0.0000210022890000,0.0000210022890000,sell-powr_btc,0.00002084,0.00002084,100.00%,0.00%,30/12/2018 23:42:42,
-0.7756087573674825370790398100%,-0.7756087573674825370790398100%,powr,buy-powr_bnb,0.0000209827440000,0.0000209827440000,sell-powr_btc,0.00002082,0.00002082,100.00%,0.00%,30/12/2018 23:43:09,
