percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-2.6151923076923076923076923100%,-2.6151923076923076923076923100%,npxs,buy-npxs_btc,0.00000013,0.00000013,sell-npxs_eth,0.0000001266002500,0.0000001266002500,0.00%,0.00%,30/12/2018 23:42:12,
-2.7403846153846153846153846200%,-2.7403846153846153846153846200%,npxs,buy-npxs_btc,0.00000013,0.00000013,sell-npxs_eth,0.0000001264375000,0.0000001264375000,0.00%,0.00%,30/12/2018 23:42:41,
-3.3215846153846153846153846200%,-3.3215846153846153846153846200%,npxs,buy-npxs_btc,0.00000013,0.00000013,sell-npxs_eth,0.0000001256819400,0.0000001256819400,0.00%,0.00%,30/12/2018 23:43:09,
