percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.6458066435770761976131051400%,-0.6458066435770761976131051400%,lun,buy-lun_eth,0.0004217235185000,0.0004217235185000,sell-lun_btc,0.00041900,0.00041900,100.00%,0.00%,30/12/2018 23:42:10,
-0.7078601232070150300449539100%,-0.7078601232070150300449539100%,lun,buy-lun_eth,0.0004211813750000,0.0004211813750000,sell-lun_btc,0.00041820,0.00041820,100.00%,0.00%,30/12/2018 23:42:39,
-0.6732225047430139448026561800%,-0.6732225047430139448026561800%,lun,buy-lun_eth,0.0004210344990000,0.0004210344990000,sell-lun_btc,0.00041820,0.00041820,100.00%,0.00%,30/12/2018 23:43:07,
