percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.136871301904464564470792300%,-0.136871301904464564470792300%,bch,buy-bch_usdt,0.0422117758071041772920941479,0.0422117758071041772920941479,sell-bch_btc,0.04215400,0.04215400,100.00%,0.00%,30/12/2018 23:42:07,
-0.0640908546526210183094993400%,-0.0640908546526210183094993400%,bch,buy-bch_usdt,0.0421039848037035032532377245,0.0421039848037035032532377245,sell-bch_btc,0.04207700,0.04207700,100.00%,0.00%,30/12/2018 23:42:36,
-0.0165894124655129169801790500%,-0.0165894124655129169801790500%,bch,buy-bch_usdt,0.0421039848037035032532377245,0.0421039848037035032532377245,sell-bch_btc,0.04209700,0.04209700,100.00%,0.00%,30/12/2018 23:43:04,
