percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.0598405063291139240506329100%,-0.0598405063291139240506329100%,qsp,buy-qsp_btc,0.00000395,0.00000395,sell-qsp_bnb,0.0000039476363000,0.0000039476363000,100.00%,0.00%,30/12/2018 23:42:14,
-0.1243721518987341772151898700%,-0.1243721518987341772151898700%,qsp,buy-qsp_btc,0.00000395,0.00000395,sell-qsp_bnb,0.0000039450873000,0.0000039450873000,100.00%,0.00%,30/12/2018 23:42:43,
-0.12426030120289843595267500%,-0.12426030120289843595267500%,qsp,buy-qsp_eth,0.0000039492299250,0.0000039492299250,sell-qsp_bnb,0.0000039443226000,0.0000039443226000,100.00%,0.00%,30/12/2018 23:43:10,
