percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.5232545041303249618716823900%,-0.5232545041303249618716823900%,ins,buy-ins_eth,0.0000732834590000,0.0000732834590000,sell-ins_btc,0.00007290,0.00007290,100.00%,0.00%,30/12/2018 23:42:10,
-0.493437890297086464241108900%,-0.493437890297086464241108900%,ins,buy-ins_eth,0.0000732615000000,0.0000732615000000,sell-ins_btc,0.00007290,0.00007290,100.00%,0.00%,30/12/2018 23:42:38,
-0.4181597198053875783620463400%,-0.4181597198053875783620463400%,ins,buy-ins_eth,0.0000732061185000,0.0000732061185000,sell-ins_btc,0.00007290,0.00007290,100.00%,0.00%,30/12/2018 23:43:07,
