percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.6694678284697914169282838900%,-0.6694678284697914169282838900%,vet,buy-vet_usdt,0.0000010993775641050984919471,0.0000010993775641050984919471,sell-vet_eth,0.0000010920175850,0.0000010920175850,100.00%,0.00%,30/12/2018 23:42:16,
-0.2991880806542520051828909800%,-0.2991880806542520051828909800%,vet,buy-vet_eth,0.0000010949487500,0.0000010949487500,sell-vet_usdt,0.0000010916727938507272758474,0.0000010916727938507272758474,100.00%,0.00%,30/12/2018 23:42:45,
-0.2319724863332769006438787800%,1.1932850495762477150612086600%,vet,buy-vet_bnb,0.0000010986540000,0.000001083180,sell-vet_eth,0.0000010961054250,0.0000010961054250,100%,0.00%,30/12/2018 23:43:12,
