percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.3104062039588369163730061800%,-0.3104062039588369163730061800%,arn,buy-arn_eth,0.0000744912253850,0.0000744912253850,sell-arn_btc,0.00007426,0.00007426,100.00%,0.00%,30/12/2018 23:42:07,
-0.3667782426103231902205374800%,-0.3667782426103231902205374800%,arn,buy-arn_eth,0.0000743828200000,0.0000743828200000,sell-arn_btc,0.00007411,0.00007411,100.00%,0.00%,30/12/2018 23:42:35,
-0.3667782426103231902205374800%,-0.3667782426103231902205374800%,arn,buy-arn_eth,0.0000743828200000,0.0000743828200000,sell-arn_btc,0.00007411,0.00007411,100.00%,0.00%,30/12/2018 23:43:04,
