percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.2509949703242455339817630100%,-0.2509949703242455339817630100%,enj,buy-enj_eth,0.0000105765466000,0.0000105765466000,sell-enj_btc,0.00001055,0.00001055,100.00%,0.00%,30/12/2018 23:42:08,
-0.1225983271718601337694488800%,-0.1225983271718601337694488800%,enj,buy-enj_eth,0.0000105629500000,0.0000105629500000,sell-enj_btc,0.00001055,0.00001055,100.00%,0.00%,30/12/2018 23:42:37,
-0.096326080743266667564379300%,-0.096326080743266667564379300%,enj,buy-enj_eth,0.0000105601722000,0.0000105601722000,sell-enj_btc,0.00001055,0.00001055,100.00%,0.00%,30/12/2018 23:43:06,
