percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.4136848780487804878048780500%,-0.4136848780487804878048780500%,fuel,buy-fuel_btc,0.00000205,0.00000205,sell-fuel_eth,0.0000020415194600,0.0000020415194600,100.00%,0.00%,30/12/2018 23:42:08,
-0.4923555325213785954910598600%,-0.4923555325213785954910598600%,fuel,buy-fuel_eth,0.0000020500937500,0.0000020500937500,sell-fuel_btc,0.00000204,0.00000204,100.00%,0.00%,30/12/2018 23:42:37,
-0.4661805488594869726880297200%,-0.4661805488594869726880297200%,fuel,buy-fuel_eth,0.0000020495546250,0.0000020495546250,sell-fuel_btc,0.00000204,0.00000204,100.00%,0.00%,30/12/2018 23:43:06,
